fechora,hh,q1
1,21,110
1,22,164
1,23,118
2,07,84
2,09,354
2,10,257
2,11,340
2,12,208
2,13,349
2,14,283
2,16,334
2,17,227
2,18,228
2,19,137
2,20,173
2,21,216
2,23,193
3,02,12
3,05,3
3,07,173
3,08,305
3,09,246
3,11,260
3,12,292
3,13,395
3,14,340
3,15,364
3,16,313
3,17,307
3,18,318
3,19,138
3,20,318
3,21,159
3,22,119
3,23,36
4,00,31
4,04,4
4,05,7
4,07,73
4,09,279
4,10,246
4,11,204
4,12,175
4,13,136
4,14,229
4,15,355
4,16,327
4,17,229
4,18,102
4,19,174
4,20,88
4,21,214
4,22,143
4,23,46
5,00,21
5,03,12
5,04,4
5,08,415
5,09,267
5,10,298
5,11,316
5,12,206
5,13,272
5,14,404
5,15,278
5,16,424
5,17,310
5,18,141
5,19,180
5,20,171
5,21,93
5,22,87
6,00,69
6,01,32
6,09,328
6,10,247
6,11,277
6,12,258
6,13,278
6,14,260
6,15,367
6,16,319
6,17,310
6,18,238
6,19,173
6,21,85
6,23,31
7,09,286
7,10,427
7,11,495
7,12,221
7,13,175
7,14,219
7,15,155
7,16,180
7,18,189
7,21,34
7,22,41
7,23,42
1,11,64
1,12,56
1,14,152
1,15,111
1,16,134
1,17,176
1,18,158
1,19,86
1,20,102
2,00,27
2,08,282
2,15,425
3,00,56
4,06,16
4,08,294
5,01,13
5,07,182
5,23,84
6,07,98
7,19,95
7,20,33
1,00,44
1,08,93
1,09,153
1,10,103
1,13,44
2,05,23
2,22,257
3,04,3
3,10,266
5,06,29
6,06,25
6,08,271
6,20,84
6,22,88
7,00,97
7,01,31
7,02,20
7,03,3
7,07,211
7,08,247
7,17,189
1,01,45
1,02,73
1,03,14
1,04,43
1,05,105
1,06,45
2,01,11
3,01,47
4,01,4
2,06,12
7,06,4
3,06,10
6,02,7
1,07,7